model_code,my,model_desc,section,type,program_id,program_name,fico_min,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash,end_date
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,39,39,,,62,0.00235,750,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,48,48,,,55,0.00287,500,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,24,24,,,76,0.00202,750,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,36,36,,,68,0.00215,500,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,39,39,,,63,0.00217,750,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,7500,48,48,,,56,0.00267,500,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,24,24,,,76,0.00202,750,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,36,36,,,68,0.00215,500,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,39,39,,,63,0.00217,750,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,7500,48,48,,,56,0.00267,500,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,24,24,,,76,0.00216,750,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,36,36,,,68,0.00233,500,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,39,39,,,63,0.00235,750,12/31/2025
Q1492AT5,2026,KONA LIMITED AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,7500,48,48,,,56,0.00287,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,24,24,,,71,0.00199,750,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,36,36,,,64,0.00223,500,12/31/2025
Q1422AT5,2026,KONA SEL PREMIUM AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,15000,39,39,,,60,0.00223,0,12/31/2025
