dealer,model_code,model_desc,purchase_date,sales_type,todays_date,section,type,program_id,program_name,end_date,rdr_deadline,claim_cutoff_date,amount_min,amount_max,package,fico_min,fico_max,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,25,36,5.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,37,48,5.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,49,60,5.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,61,72,5.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,720,739,,24,24,5.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,720,739,,25,36,5.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,720,739,,37,48,5.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,720,739,,49,60,5.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,720,739,,61,72,7.19,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,700,719,,24,24,6.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,700,719,,25,36,6.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,700,719,,37,48,6.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,700,719,,49,60,6.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,700,719,,61,72,7.89,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,680,699,,24,24,7.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,680,699,,25,36,7.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,680,699,,37,48,7.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,680,699,,49,60,7.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,680,699,,61,72,8.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,660,679,,24,24,9.29,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,660,679,,25,36,9.29,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,660,679,,37,48,9.29,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,660,679,,49,60,9.29,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,660,679,,61,72,10.19,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,640,659,,24,24,10.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,640,659,,25,36,10.49,1000,,,
